article l_citation8 editor_incharge diff_gender n_pages n_authors n_references AER ECA JPE 2001 2002
1 3.663561646 0 0 14 1 40 1 0 0 0 0
2 4.430816799 0 0 22 1 35 0 1 0 0 0
6 5.087596335 0 0 32 1 101 1 0 0 1 0
7 4.672828834 0 0 33 2 20 0 0 1 0 0
8 4.727387819 0 0 35 1 74 0 1 0 1 0
9 2.708050201 0 0 36 2 37 0 0 1 0 1
11 2.197224577 0 0 37 1 35 0 0 1 1 0
13 5.828945618 0 0 37 4 37 0 0 0 0 1
16 1.386294361 0 0 44 1 92 0 0 0 0 0
18 3.091042453 0 0 45 2 28 0 1 0 0 1
23 5.036952602 0 0 53 3 38 0 0 0 1 0
27 3.044522438 0 1 7 3 35 1 0 0 0 0
29 2.63905733 0 0 16 1 16 0 0 1 0 0
30 2.833213344 0 0 25 2 25 1 0 0 1 0
31 3.828641396 0 0 27 2 23 0 1 0 0 1
33 3.218875825 0 0 17 2 26 0 0 0 1 0
35 0 0 0 7 1 10 1 0 0 0 0
36 0 0 0 10 2 18 0 1 0 0 0
37 3.951243719 0 0 16 2 31 1 0 0 0 1
40 3.17805383 0 0 25 3 32 0 1 0 1 0
42 2.302585093 0 0 15 2 27 1 0 0 0 0
44 4.143134726 0 1 37 3 39 0 0 0 0 0
45 2.079441542 0 0 39 1 49 0 0 1 1 0
46 2.197224577 0 0 5 2 7 0 0 1 0 0
51 4.219507705 0 0 31 2 39 0 0 1 0 0
52 2.302585093 0 0 35 2 32 0 0 0 1 0
54 3.433987204 0 0 15 2 23 1 0 0 0 1
55 4.955827058 0 0 26 4 28 0 1 0 0 0
58 3.091042453 0 0 35 1 33 0 0 1 1 0
60 2.48490665 0 0 24 2 51 1 0 0 1 0
62 3.80666249 0 0 21 1 39 1 0 0 0 0
64 2.48490665 0 0 31 1 29 0 1 0 0 1
65 3.17805383 0 0 36 1 19 0 0 1 0 1
66 4.248495242 0 0 35 1 31 0 0 0 0 1
67 3.36729583 0 0 21 1 71 0 1 0 1 0
71 2.772588722 0 1 18 2 22 1 0 0 0 1
81 2.772588722 0 0 8 3 24 1 0 0 1 0
82 3.555348061 0 0 17 2 31 1 0 0 0 0
84 4.007333185 0 0 42 2 48 0 1 0 0 0
85 3.36729583 0 0 34 2 24 0 0 0 0 0
86 2.197224577 0 1 30 2 16 0 0 1 0 0
88 3.713572067 0 0 26 3 25 0 0 1 1 0
89 0.693147181 0 0 15 2 7 0 1 0 1 0
90 3.465735903 0 0 8 2 15 1 0 0 0 1
91 2.197224577 0 0 9 2 35 1 0 0 1 0
95 4.59511985 0 0 52 2 63 0 0 0 1 0
96 2.397895273 0 0 43 3 31 0 1 0 0 1
100 2.197224577 0 1 9 2 23 1 0 0 0 1
101 4.919980926 0 0 32 1 50 0 0 1 0 1
102 2.772588722 0 0 12 2 14 1 0 0 1 0
103 3.583518938 0 0 20 1 48 1 0 0 0 0
106 2.197224577 0 0 29 1 29 0 0 0 0 1
109 3.33220451 0 0 22 2 26 0 1 0 1 0
110 2.48490665 0 0 14 2 29 1 0 0 0 1
112 2.890371758 0 0 11 2 18 1 0 0 1 0
115 3.80666249 0 0 29 1 32 0 0 1 1 0
121 4.248495242 0 0 45 1 43 0 0 0 0 0
123 5.323009979 0 0 11 2 21 1 0 0 0 1
124 3.988984047 0 0 17 2 50 1 0 0 0 0
125 2.833213344 0 0 28 1 22 0 0 1 0 0
126 4.787491743 0 0 8 1 11 1 0 0 1 0
127 4.820281566 0 0 30 1 53 0 1 0 0 0
129 1.386294361 0 0 13 1 19 0 1 0 1 0
131 2.708050201 0 1 13 2 20 1 0 0 1 0
134 2.833213344 0 0 32 2 20 0 0 1 0 1
135 1.098612289 0 0 12 2 15 1 0 0 0 1
137 3.295836866 0 0 27 1 30 0 0 0 0 1
140 2.197224577 0 0 15 2 31 1 0 0 0 0
141 2.397895273 0 1 43 3 57 0 1 0 0 1
142 2.564949357 0 0 7 2 9 0 1 0 1 0
145 2.772588722 0 0 17 3 14 0 0 1 1 0
146 0.693147181 0 0 33 1 25 0 0 0 1 0
147 2.302585093 0 0 10 2 5 1 0 0 0 1
148 3.091042453 0 1 10 2 19 1 0 0 1 0
153 4.49980967 0 0 41 3 50 0 0 1 0 0
157 2.197224577 0 0 11 2 18 1 0 0 0 0
159 3.465735903 0 0 9 3 18 1 0 0 1 0
160 4.532599493 1 1 12 2 27 1 0 0 0 1
161 4.418840608 0 0 24 2 32 0 1 0 0 0
163 5.017279837 0 0 34 1 49 0 1 0 1 0
165 3.17805383 0 0 31 2 24 0 0 1 0 1
169 1.098612289 0 0 18 3 16 0 0 1 1 0
173 4.927253685 0 0 59 2 68 0 0 0 0 1
174 2.197224577 0 1 14 2 39 1 0 0 1 0
175 3.526360525 0 0 33 2 39 0 0 1 0 1
176 3.218875825 0 0 24 1 32 1 0 0 0 0
178 2.772588722 0 0 30 2 29 0 0 0 0 0
180 3.80666249 1 0 14 3 14 1 0 0 0 1
185 2.63905733 0 0 11 3 17 1 0 0 1 0
186 5.111987788 0 1 39 2 37 0 0 0 1 0
188 4.812184355 0 1 30 3 33 0 1 0 0 0
189 2.944438979 0 0 8 1 14 1 0 0 0 1
194 3.988984047 0 0 43 3 42 0 0 1 1 0
195 3.761200116 0 0 44 2 29 0 1 0 0 1
198 1.609437912 0 0 9 1 16 1 0 0 0 1
199 4.836281907 0 0 24 2 57 1 0 0 0 0
202 3.970291914 0 0 31 2 23 0 1 0 1 0
203 3.295836866 0 0 22 1 20 0 0 1 0 0
206 4.605170186 0 0 33 2 73 0 0 0 0 0
208 2.995732274 0 0 30 2 13 0 0 1 0 1
210 4.852030264 0 1 16 2 34 1 0 0 0 1
212 4.043051268 0 0 45 2 26 0 1 0 1 0
215 4.094344562 0 0 45 1 46 0 0 1 0 1
219 5.087596335 0 0 50 2 34 0 1 0 0 0
222 4.691347882 0 0 25 2 40 1 0 0 0 0
223 2.079441542 0 0 26 1 20 0 0 1 0 0
224 1.098612289 0 0 7 3 3 1 0 0 0 1
225 3.828641396 0 0 18 1 34 1 0 0 1 0
226 3.526360525 0 0 43 1 53 0 0 0 1 0
227 3.401197382 0 1 16 2 27 0 1 0 0 0
229 3.583518938 0 0 44 1 42 0 1 0 0 1
234 2.63905733 0 0 13 2 67 1 0 0 0 1
236 4.787491743 1 0 37 2 37 0 0 0 0 1
237 4.553876892 0 0 43 3 34 0 1 0 1 0
240 2.995732274 0 0 40 2 26 0 0 1 1 0
241 3.401197382 0 0 14 2 10 0 1 0 0 1
242 5.010635294 0 0 23 1 53 1 0 0 0 1
243 4.060443011 0 0 24 3 21 0 0 1 0 0
244 2.63905733 0 0 37 2 44 0 0 0 0 0
245 3.663561646 0 0 18 2 27 1 0 0 1 0
246 4.605170186 0 0 13 2 30 1 0 0 0 1
249 4.770684624 0 0 30 1 30 1 0 0 0 0
252 4.927253685 0 1 28 3 25 0 0 0 0 1
255 4.189654742 0 0 40 2 24 0 0 0 1 0
256 1.386294361 0 0 25 2 41 0 0 1 0 0
258 1.386294361 0 0 7 3 11 0 1 0 0 1
264 4.025351691 0 0 4 3 10 1 0 0 0 1
265 3.891820298 0 0 35 4 23 0 0 1 0 1
267 1.791759469 0 1 13 2 18 0 1 0 0 1
268 3.737669618 0 0 18 3 47 1 0 0 1 0
270 2.944438979 0 0 14 2 33 1 0 0 0 1
273 2.079441542 0 0 18 2 42 0 1 0 0 0
275 5.869296913 0 0 64 3 118 0 0 0 0 1
276 4.691347882 0 0 28 2 21 0 0 0 1 0
277 1.945910149 0 0 9 1 18 0 1 0 0 1
278 3.17805383 0 0 35 1 15 0 0 1 0 0
281 4.454347296 0 0 23 2 24 0 1 0 1 0
282 4.812184355 0 1 50 2 78 0 0 1 1 0
283 3.850147602 0 0 16 1 49 1 0 0 0 0
285 3.737669618 0 0 24 2 43 1 0 0 1 0
288 4.204692619 0 0 47 1 21 0 0 0 0 0
291 1.945910149 0 1 7 3 7 0 1 0 0 1
295 2.890371758 0 0 32 2 17 0 1 0 0 0
300 2.564949357 0 0 21 2 16 1 0 0 0 0
301 3.663561646 0 0 31 2 41 0 0 1 0 1
304 4.890349128 0 0 43 2 40 0 0 0 1 0
305 3.295836866 0 0 21 2 21 0 1 0 1 0
307 4.290459441 0 0 23 1 52 1 0 0 1 0
310 4.465908119 0 0 21 2 34 1 0 0 0 1
313 0 0 0 22 1 34 0 0 1 0 0
317 4.262679877 1 0 21 3 36 1 0 0 0 0
322 2.63905733 0 0 21 1 8 1 0 0 1 0
323 5.087596335 0 0 12 1 22 0 1 0 0 0
326 2.833213344 0 0 32 2 23 0 1 0 1 0
329 3.63758616 0 0 25 2 21 1 0 0 1 0
330 3.871201011 0 0 32 1 30 0 0 1 0 1
332 3.258096538 0 1 29 2 26 0 0 0 0 0
333 2.397895273 0 0 23 1 30 0 0 1 1 0
335 2.995732274 0 0 18 2 29 1 0 0 0 1
337 3.931825633 0 1 35 4 34 0 0 1 0 0
342 5.049856007 0 0 34 2 53 0 0 0 0 1
344 2.890371758 0 0 26 1 26 1 0 0 0 0
345 4.584967479 0 0 42 1 15 0 1 0 0 1
346 4.204692619 0 0 17 1 40 1 0 0 0 0
350 4.007333185 0 0 40 1 24 0 1 0 0 0
351 3.258096538 0 1 37 2 41 0 0 0 1 0
355 5.283203729 0 1 27 3 21 1 0 0 0 1
359 2.63905733 0 1 18 2 19 1 0 0 1 0
361 1.609437912 0 0 44 2 19 0 0 1 1 0
363 1.098612289 0 0 18 1 4 0 1 0 1 0
364 2.772588722 0 0 25 1 30 0 0 0 0 0
366 3.496507561 0 0 37 1 41 0 0 1 0 1
